ID,Language_ID,Name,Provider,lang
1,tebe1251,Teberan,multitree,
2,kiwa1251,not specified,moseley & asher (1994),
3,kiwa1251,Kiwaian,multitree,
4,kiwa1251,not specified,ruhlen (1987),
5,kiwa1251,Kiwai,wals,
6,kiwa1251,Island dialect,wals other,
7,kiwa1251,Kiwai,wals other,
8,paho1240,Pahoturi,multitree,
9,paho1240,Pahoturi River,multitree,
10,fasu1242,Fasu,elcat,
11,fasu1242,Fasu,lexvo,en
12,fasu1242,Fasu language,lexvo,en
13,fasu1242,Fasu,moseley & asher (1994),
14,fasu1242,Fasu,multitree,
15,fasu1242,Namome,multitree,
16,fasu1242,Namumi,multitree,
17,fasu1242,Some,multitree,
18,fasu1242,Fasu,ruhlen (1987),
19,fasu1242,Fasu,wals,
20,fasu1242,Fasu (Namo Me),wals other,
21,wash1253,Washo,elcat,
22,wash1253,Washoa,elcat,
23,wash1253,Washoe,elcat,
24,wash1253,Wachoeg,lexvo,br
25,wash1253,Washo,lexvo,en
26,wash1253,Washo language,lexvo,en
27,wash1253,Washoan,lexvo,hr
28,wash1253,Washoe,lexvo,de
29,wash1253,Waxo hizkuntza,lexvo,eu
30,wash1253,washo,lexvo,fr
31,wash1253,Уошо,lexvo,ru
32,wash1253,Washo,moseley & asher (1994),
33,wash1253,Washo,ruhlen (1987),
34,wash1253,Washo,wals,
35,taua1242,Tauade,lexvo,en
36,taua1242,Tauade,multitree,
37,taua1242,Tauata,multitree,
38,puel1244,Gennaken,elcat,
39,puel1244,Guenaken,elcat,
40,puel1244,Gününa Yajich,elcat,
41,puel1244,Gününa-Küne,elcat,
42,puel1244,Northern Tehuelche,elcat,
43,puel1244,Pampa,elcat,
44,puel1244,Pehuelche,elcat,
45,puel1244,Puelche,elcat,
46,puel1244,Gününa yajich,lexvo,fr
47,puel1244,Idioma puelche,lexvo,es
48,puel1244,Puelche,lexvo,en
49,puel1244,Puelche language,lexvo,en
50,puel1244,Puelche,moseley & asher (1994),
51,puel1244,Cuyo,multitree,
52,puel1244,Gennaken,multitree,
53,puel1244,Guenaken,multitree,
54,puel1244,Gününa Yajich,multitree,
55,puel1244,Gününa yajich,multitree,
56,puel1244,Gününa-Küne,multitree,
57,puel1244,Northern Tehuelche,multitree,
58,puel1244,Pampa,multitree,
59,puel1244,Pehuelche,multitree,
60,puel1244,Pehuenche,multitree,
61,puel1244,Puelche,multitree,
62,puel1244,Ranquelche,multitree,
63,puel1244,Puelche,ruhlen (1987),
64,puel1244,Gününa Küne,wals,
65,puel1244,Pampa,wals other,
66,tuxa1239,Tuxa,glottolog,
67,tuxa1239,Tuxá,lexvo,en
68,tuxa1239,Rodela,multitree,
69,tuxa1239,Todela,multitree,
70,tuxa1239,Tusha,multitree,
71,tuxa1239,Tushá,multitree,
72,tuxa1239,Tuxá,multitree,
73,beto1236,Betoi,moseley & asher (1994),
74,beto1236,Betoi,multitree,
75,beto1236,Betoi,ruhlen (1987),
